county,fips,cases,deaths,cfr
Blount,1339459.0,937,30,0.032017075773746
Blue Earth,864416.0,370,0,0.0
Bolivar,840330.0,952,42,0.04411764705882353
Bollinger,638374.0,40,0,0.0
Bon Homme,1702333.0,62,0,0.0
Bond,323095.0,60,1,0.016666666666666666
Bonner,288306.0,50,0,0.0
Bonneville,320380.0,156,0,0.0
Boone,3262027.0,3895,85,0.021822849807445442
Bosque,96070.0,2,0,0.0
Bossier,748510.0,2860,98,0.03426573426573427
Botetourt,1377621.0,299,0,0.0
Boulder,272442.0,4272,116,0.027153558052434457
Boundary,16021.0,1,0,0.0
Bourbon,1214853.0,219,42,0.1917808219178082
Bowie,1537184.0,562,57,0.10142348754448399
Bowman,380110.0,10,0,0.0
Box Butte,186078.0,6,0,0.0
Box Elder,1470090.0,216,0,0.0
Boyd,399361.0,305,25,0.08196721311475409
Boyle,420420.0,148,0,0.0
Bracken,420460.0,50,0,0.0
Bradford,1320542.0,553,5,0.009041591320072333
Bradley,1466638.0,598,3,0.005016722408026756
Branch,442391.0,308,20,0.06493506493506493
Brantley,143275.0,94,10,0.10638297872340426
Braxton,486063.0,9,0,0.0
Brazoria,1633326.0,3458,28,0.008097165991902834
Brazos,1489271.0,2049,138,0.06734992679355783
Breathitt,546650.0,60,0,0.0
Breckinridge,420540.0,52,0,0.0
Bremer,285255.0,54,0,0.0
Brevard,372279.0,1978,39,0.019716885743174924
Bristol,1862193.0,17400,438,0.02517241379310345
Bristol city,1081920.0,21,0,0.0
Broadwater,870203.0,86,0,0.0
Brooke,540090.0,24,0,0.0
Brookings,1104264.0,99,0,0.0
Brooks,247513.0,207,11,0.05314009661835749
Broome,1224238.0,1780,106,0.05955056179775281
Broomfield,224392.0,1085,33,0.030414746543778803
Broward,504462.0,46162,1008,0.021836142281530264
Brown,5785817.0,1617,46,0.02844774273345702
Brule,230075.0,5,0,0.0
Brunswick,2126071.0,611,21,0.03436988543371522
Bryan,1232995.0,475,25,0.05263157894736842
Buchanan,1576167.0,410,8,0.01951219512195122
Buckingham,867493.0,162,0,0.0
Bucks,1554629.0,16518,483,0.029240828187431893
Buena Vista,190210.0,16,0,0.0
Buena Vista city,721420.0,50,0,0.0
Buffalo,1803719.0,500,29,0.058
Bullitt,441609.0,322,30,0.09316770186335403
Bulloch,260620.0,203,6,0.029556650246305417
Bullock,22242.0,80,0,0.0
