county,fips,cases,deaths,cfr
Cochran,3269372.0,68,0,0.0
Cocke,4749929.0,1659,0,0.0
Coconino,416520.0,76218,5224,0.0685402398383584
Codington,4556871.0,2367,0,0.0
Coffee,5772542.0,39195,913,0.02329378747289195
Coffey,1902945.0,4265,598,0.14021101992966004
Coke,2692536.0,118,7,0.059322033898305086
Colbert,100201.0,11174,221,0.01977805620189726
Cole,3050355.0,4829,95,0.019672810105611928
Coleman,2836897.0,149,0,0.0
Coles,1430436.0,6671,662,0.09923549692699746
Colfax,5632867.0,33750,173,0.005125925925925926
Colleton,4502900.0,8055,721,0.08950962135319677
Collier,1346352.0,121801,3098,0.02543493074769501
Collin,5433605.0,102791,2318,0.022550612407701065
Collingsworth,2692872.0,247,0,0.0
Colonial Heights city,4177170.0,6291,775,0.12319186138928628
Colorado,4328010.0,1967,0,0.0
Colquitt,1280958.0,31479,988,0.03138600336732425
Columbia,26326828.0,86835,5076,0.05845569182933149
Columbiana,3980958.0,45588,3233,0.0709177853821181
Columbus,3445371.0,21023,1532,0.07287256813965656
Colusa,571045.0,484,0,0.0
Comal,4712918.0,11379,542,0.04763160207399596
Comanche,8952633.0,18326,268,0.014624031430754119
Concho,3895695.0,111,0,0.0
Concordia,2004639.0,5355,340,0.06349206349206349
Conecuh,93150.0,3736,53,0.014186295503211991
Conejos,433134.0,242,0,0.0
Contra Costa,715547.0,115485,3001,0.02598605879551457
Converse,5264846.0,1796,0,0.0
Conway,492842.0,1359,125,0.09197939661515821
Cook,4353325.0,4923987,228570,0.04641970013324568
Cooke,3895857.0,1151,0,0.0
Cooper,2818141.0,725,0,0.0
Coos,6185496.0,2317,0,0.0
Coosa,99552.0,2930,78,0.026621160409556314
Copiah,3055161.0,19720,297,0.015060851926977687
Corson,3774542.0,405,0,0.0
Cortland,3602300.0,2952,0,0.0
Coryell,4665603.0,17075,137,0.008023426061493411
Coshocton,4098255.0,2738,1,0.0003652300949598247
Costilla,762185.0,601,0,0.0
Cottle,3078464.0,234,52,0.2222222222222222
Cotton,3683036.0,438,121,0.2762557077625571
Cottonwood,2514069.0,4922,0,0.0
Covington,2733619.0,17688,206,0.011646313885119856
Covington city,2682160.0,166,0,0.0
Coweta,1412316.0,28627,618,0.021588011317986516
Cowley,1783115.0,1318,82,0.0622154779969651
Cowlitz,5407530.0,6360,0,0.0
Craig,8131140.0,1465,0,0.0
Craighead,518193.0,15807,93,0.005883469349022585
Crane,4954609.0,1364,166,0.1217008797653959
Craven,4001292.0,12209,339,0.027766401834712098
Crawford,26535140.0,53571,818,0.015269455488977245
Creek,3883589.0,7786,524,0.06730028255843823
Crenshaw,99936.0,4765,125,0.026232948583420776
Crisp,1281938.0,16254,522,0.03211517165005537
Crittenden,2392500.0,27365,670,0.024483829709482915
Crockett,4636034.0,1172,106,0.09044368600682594
Crook,8482101.0,752,0,0.0
Crosby,4040988.0,313,76,0.24281150159744408
Cross,493626.0,3501,13,0.0037132247929163096
Crow Wing,2433150.0,4103,283,0.06897392152083841
Crowley,826575.0,3183,103,0.032359409362236885
Culberson,481090.0,24,0,0.0
Cullman,106386.0,11192,60,0.005360972122944961
Culpeper,5104700.0,36515,414,0.01133780638093934
Cumberland,27366055.0,310918,12434,0.03999125171267022
Cuming,2793510.0,1651,0,0.0
Currituck,3445929.0,832,0,0.0
Curry,6917157.0,4491,0,0.0
Custer,10753621.0,5222,278,0.05323630792799693
Cuyahoga,4410955.0,301334,15793,0.05241028227813655
Dade,1639491.0,2342,88,0.037574722459436376
Dakota,5426467.0,174039,4350,0.024994397807388
Dale,94050.0,7470,0,0.0
Dallam,4041324.0,1953,19,0.00972862263184844
Dallas,10426856.0,793709,16738,0.02108833338162979
Dane,8033650.0,58826,2099,0.03568150137694217
Danville city,5107410.0,3966,109,0.027483610690872417
Dare,3297895.0,1575,88,0.05587301587301587
Darke,4098885.0,11343,1468,0.12941902494930793
Darlington,4593162.0,18602,527,0.02833028706590689
Dauphin,4204300.0,86144,4836,0.05613855869242199
Davidson,9142032.0,420444,5203,0.012375013081409177
Davie,3705900.0,6397,183,0.028607159606065344
Daviess,5928035.0,29229,1645,0.056279722193711725
Davis,6866438.0,40738,253,0.006210417791742353
Davison,5155920.0,1324,114,0.08610271903323263
Dawes,1614340.0,65,0,0.0
Dawson,9214275.0,61454,606,0.009861034269534937
Day,2854294.0,714,0,0.0
De Soto,2247162.0,19313,1186,0.06140941334852172
De Witt,1499432.0,280,0,0.0
DeKalb,12275387.0,304992,8465,0.027754826356101145
DeSoto,4118132.0,55739,1152,0.02066775507274978
